"Index","Animation","Children","Comedy","Adventure","Fantasy","Romance","Drama","Action","Crime","Thriller","Horror","SciFi","Documentary","War","Musical","Mystery","FilmNoir","Western"
1,"Close Shave, A (1995)","Wizard of Oz, The (1939)","Close Shave, A (1995)","Raiders of the Lost Ark (1981)","Star Wars: Episode IV - A New Hope (1977)","Casablanca (1942)","Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)","Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)","Godfather, The (1972)","Close Shave, A (1995)","Young Frankenstein (1974)","Star Wars: Episode IV - A New Hope (1977)","When We Were Kings (1996)","Schindler's List (1993)","Singin' in the Rain (1952)","Rear Window (1954)","Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)","Butch Cassidy and the Sundance Kid (1969)"
2,"Wrong Trousers, The (1993)","Toy Story 2 (1999)","Wrong Trousers, The (1993)","Star Wars: Episode IV - A New Hope (1977)","E.T. the Extra-Terrestrial (1982)","Princess Bride, The (1987)","Shawshank Redemption, The (1994)","Godfather, The (1972)","Usual Suspects, The (1995)","Usual Suspects, The (1995)","Psycho (1960)","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)","Thin Blue Line, The (1988)","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)","Wizard of Oz, The (1939)","Third Man, The (1949)","Double Indemnity (1944)","High Noon (1952)"
3,"Wallace & Gromit: The Best of Aardman Animation (1996)","Toy Story (1995)","Grand Day Out, A (1992)","Lawrence of Arabia (1962)","Willy Wonka and the Chocolate Factory (1971)","Philadelphia Story, The (1940)","Godfather, The (1972)","Raiders of the Lost Ark (1981)","Double Indemnity (1944)","Rear Window (1954)","Alien (1979)","Matrix, The (1999)","Stop Making Sense (1984)","Casablanca (1942)","This Is Spinal Tap (1984)","Maltese Falcon, The (1941)","Maltese Falcon, The (1941)","Good, The Bad and The Ugly, The (1966)"
4,"Grand Day Out, A (1992)","Iron Giant, The (1999)","Monty Python and the Holy Grail (1974)","Great Escape, The (1963)","Big (1988)","Notorious (1946)","Schindler's List (1993)","Star Wars: Episode IV - A New Hope (1977)","Godfather: Part II, The (1974)","Third Man, The (1949)","Shining, The (1980)","Star Wars: Episode V - The Empire Strikes Back (1980)","War Room, The (1993)","Lawrence of Arabia (1962)","My Fair Lady (1964)","Chinatown (1974)","Chinatown (1974)","Unforgiven (1992)"
5,"Toy Story 2 (1999)","E.T. the Extra-Terrestrial (1982)","Life Is Beautiful (La Vita è bella) (1997)","Princess Bride, The (1987)","Excalibur (1981)","Cinema Paradiso (1988)","To Kill a Mockingbird (1962)","Godfather: Part II, The (1974)","Sting, The (1973)","Sixth Sense, The (1999)","Jaws (1975)","Blade Runner (1982)","42 Up (1998)","Bridge on the River Kwai, The (1957)","Producers, The (1968)","Big Sleep, The (1946)","Manchurian Candidate, The (1962)","Blazing Saddles (1974)"
6,"Toy Story (1995)","Fantasia (1940)","Sting, The (1973)","Star Wars: Episode V - The Empire Strikes Back (1980)","20,000 Leagues Under the Sea (1954)","Singin' in the Rain (1952)","Casablanca (1942)","Saving Private Ryan (1998)","Some Like It Hot (1959)","North by Northwest (1959)","Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)","Alien (1979)","Paradise Lost: The Child Murders at Robin Hood Hills (1996)","Great Escape, The (1963)","West Side Story (1961)","Vertigo (1958)","Big Sleep, The (1946)","Little Big Man (1970)"
7,"Iron Giant, The (1999)","Mary Poppins (1964)","American Beauty (1999)","African Queen, The (1951)","Time Bandits (1981)","African Queen, The (1951)","One Flew Over the Cuckoo's Nest (1975)","Matrix, The (1999)","Pulp Fiction (1994)","Silence of the Lambs, The (1991)","Frankenstein (1931)","Terminator, The (1984)","Hoop Dreams (1994)","Saving Private Ryan (1998)","King and I, The (1956)","Conversation, The (1974)","Strangers on a Train (1951)","Outlaw Josey Wales, The (1976)"
8,"Akira (1988)","Babe (1995)","Princess Bride, The (1987)","Wizard of Oz, The (1939)","Ladyhawke (1985)","Graduate, The (1967)","Citizen Kane (1941)","Princess Bride, The (1987)","GoodFellas (1990)","Chinatown (1974)","Exorcist, The (1973)","Aliens (1986)","Hands on a Hard Body (1996)","Boat, The (Das Boot) (1981)","Blues Brothers, The (1980)","L.A. Confidential (1997)","Notorious (1946)","Fistful of Dollars, A (1964)"
9,"Fantasia (1940)","Beauty and the Beast (1991)","Philadelphia Story, The (1940)","Indiana Jones and the Last Crusade (1989)","Peter Pan (1953)","Run Lola Run (Lola rennt) (1998)","City Lights (1931)","Boat, The (Das Boot) (1981)","On the Waterfront (1954)","Manchurian Candidate, The (1962)","Invasion of the Body Snatchers (1956)","Brazil (1985)","Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)","Star Wars: Episode V - The Empire Strikes Back (1980)","Sound of Music, The (1965)","Arsenic and Old Lace (1944)","Blade Runner (1982)","For a Few Dollars More (1965)"
10,"Beauty and the Beast (1991)","Chicken Run (2000)","Some Like It Hot (1959)","Ben-Hur (1959)","Dark Crystal, The (1982)","Roman Holiday (1953)","Bridge on the River Kwai, The (1957)","Star Wars: Episode V - The Empire Strikes Back (1980)","Fargo (1996)","Matrix, The (1999)","Ghostbusters (1984)","Clockwork Orange, A (1971)","Roger & Me (1989)","Patton (1970)","Fantasia (1940)","Lone Star (1996)","L.A. Confidential (1997)","Dances with Wolves (1990)"
